Name                                                                                            Stmts   Miss  Cover
tests/base.py                                                                                       8      4    50%
tests/test_active_member_status_module.py                                                         350    340     3%
tests/test_admin_users_api.py                                                                     176    157    11%
tests/test_api_contract_harness.py                                                                133    102    23%
tests/test_api_envelope.py                                                                         42     32    24%
tests/test_appraisal_api.py                                                                      1234   1218     1%
tests/test_approval_case_routing_api.py                                                          2360   2344     1%
tests/test_approval_matrix.py                                                                     555    544     2%
tests/test_approval_read_scope_migration.py                                                       115     93    19%
tests/test_audit_logs_api.py                                                                      130    106    18%
tests/test_auth_api.py                                                                            164    161     2%
tests/test_auth_module.py                                                                         148    145     2%
tests/test_backend_infrastructure.py                                                               29     15    48%
tests/test_catalogue_seed.py                                                                      121     97    20%
tests/test_communications_api.py                                                                  141    120    15%
tests/test_configurations_api.py                                                                  172    142    17%
tests/test_content_templates_api.py                                                               132    107    19%
tests/test_credit_action_parity_matrix.py                                                         569    566     1%
tests/test_credit_model_ownership_migration.py                                                     92     79    14%
tests/test_credit_modules.py                                                                      456    382    16%
tests/test_dashboard_api.py                                                                       105     86    18%
tests/test_document_files_api.py                                                                  228    217     5%
tests/test_document_templates_api.py                                                              232    222     4%
tests/test_health_api.py                                                                           28     19    32%
tests/test_loan_applications_api.py                                                              1729   1633     6%
tests/test_loan_document_generation_api.py                                                        254    236     7%
tests/test_member_authority_action_matrix.py                                                      355    343     3%
tests/test_member_bank_accounts_api.py                                                            173    148    14%
tests/test_member_directory_api.py                                                                 79     61    23%
tests/test_member_governance_api.py                                                               282    272     4%
tests/test_member_kyc_api.py                                                                      154    124    19%
tests/test_member_land_crop_api.py                                                                157    132    16%
tests/test_member_nominees_api.py                                                                 138    114    17%
tests/test_member_profile_api.py                                                                  216    181    16%
tests/test_member_scope_assignment_api.py                                                          70     65     7%
tests/test_member_shareholdings_api.py                                                            113     91    19%
tests/test_nominee_validation.py                                                                   25     15    40%
tests/test_notifications_api.py                                                                   155    150     3%
tests/test_object_permissions.py                                                                   60     56     7%
tests/test_portal_auth_api.py                                                                     127    125     2%
tests/test_portal_member_api.py                                                                   438    426     3%
tests/test_produce_supply_api.py                                                                  182    177     3%
tests/test_sanction_submission_api.py                                                            1012    992     2%
tests/test_scheduler_services.py                                                                   48     34    29%
tests/test_seed_demo_users.py                                                                     147    119    19%
tests/test_seed_e2e_users.py                                                                      153    123    20%
tests/test_tracer_api.py                                                                          125    106    15%
tests/test_witness_api.py                                                                         429    380    11%
tests/test_witness_evidence_migration.py                                                           82     65    21%
tests/test_workflow_events_api.py                                                                 102     96     6%
tests/test_workflow_guard.py                                                                       28     20    29%
tracer/__init__.py                                                                                  0      0   100%
tracer/apps.py                                                                                      4      0   100%
tracer/migrations/0001_initial.py                                                                   8      0   100%
tracer/migrations/0002_remove_tracer_workflowevent_state.py                                         4      0   100%
tracer/migrations/__init__.py                                                                       0      0   100%
tracer/models.py                                                                                   46      0   100%
tracer/services.py                                                                                118    118     0%
tracer/views.py                                                                                   100    100     0%
workflows/__init__.py                                                                               2      0   100%
workflows/apps.py                                                                                   4      0   100%
workflows/event_views.py                                                                           17     17     0%
workflows/events.py                                                                                61     57     7%
workflows/guard.py                                                                                 51     23    55%
workflows/migrations/0001_canonical_workflow_event.py                                               8      0   100%
workflows/migrations/__init__.py                                                                    0      0   100%
workflows/models.py                                                                                16      0   100%
-------------------------------------------------------------------------------------------------------------------
TOTAL                                                                                           26761  23439    12%
Coverage failure: total of 12 is less than fail-under=85
